ImageId_ClassId,EncodedBoxes
0002cc93b.jpg_1,113 161 127 185 304 88 331 194 332 192 355 256 350 63 368 103 741 74 755 102
0002cc93b.jpg_2,
0002cc93b.jpg_3,
0002cc93b.jpg_4,
00031f466.jpg_1,
00031f466.jpg_2,
00031f466.jpg_3,
00031f466.jpg_4,
000418bfc.jpg_1,
000418bfc.jpg_2,
000418bfc.jpg_3,
000418bfc.jpg_4,
000789191.jpg_1,
000789191.jpg_2,
000789191.jpg_3,
000789191.jpg_4,
0007a71bf.jpg_1,
0007a71bf.jpg_2,
0007a71bf.jpg_3,72 146 85 256 1145 4 1167 255
0007a71bf.jpg_4,
000a4bcdd.jpg_1,146 206 187 242 244 202 267 225 247 113 276 163 286 146 326 196 338 108 355 141 352 193 377 228 373 128 417 156 397 183 416 207 435 232 458 256 439 55 461 98
000a4bcdd.jpg_2,
000a4bcdd.jpg_3,
000a4bcdd.jpg_4,
000f6bf48.jpg_1,
000f6bf48.jpg_2,
000f6bf48.jpg_3,
000f6bf48.jpg_4,515 0 860 218 853 126 1131 256
0014fce06.jpg_1,
0014fce06.jpg_2,
0014fce06.jpg_3,896 60 929 250
0014fce06.jpg_4,
001982b08.jpg_1,
001982b08.jpg_2,
001982b08.jpg_3,
001982b08.jpg_4,
001d1b355.jpg_1,
001d1b355.jpg_2,
001d1b355.jpg_3,
001d1b355.jpg_4,
001d3d093.jpg_1,
001d3d093.jpg_2,
001d3d093.jpg_3,
001d3d093.jpg_4,
0025bde0c.jpg_1,
0025bde0c.jpg_2,
0025bde0c.jpg_3,33 2 227 107 836 95 868 177 889 4 939 97 1007 23 1038 97 1074 14 1104 104 1166 9 1200 107
0025bde0c.jpg_4,1231 0 1416 48 1389 65 1512 186
002af848d.jpg_1,
002af848d.jpg_2,
002af848d.jpg_3,
002af848d.jpg_4,1135 222 1224 255 1382 189 1454 255
002e73b3c.jpg_1,
002e73b3c.jpg_2,
002e73b3c.jpg_3,
002e73b3c.jpg_4,
002fc4e19.jpg_1,570 83 595 161
002fc4e19.jpg_2,568 163 584 256
002fc4e19.jpg_3,
002fc4e19.jpg_4,
0030401a5.jpg_1,
0030401a5.jpg_2,
0030401a5.jpg_3,
0030401a5.jpg_4,729 196 781 256 854 0 1315 256
003ac9d2a.jpg_1,
003ac9d2a.jpg_2,
003ac9d2a.jpg_3,
003ac9d2a.jpg_4,
0046839bd.jpg_1,
0046839bd.jpg_2,
0046839bd.jpg_3,597 42 768 100
0046839bd.jpg_4,
005b92582.jpg_1,
005b92582.jpg_2,
005b92582.jpg_3,
005b92582.jpg_4,
005d86c25.jpg_1,
005d86c25.jpg_2,
005d86c25.jpg_3,1 0 763 256 92 4 282 69
005d86c25.jpg_4,
005da33cf.jpg_1,
005da33cf.jpg_2,
005da33cf.jpg_3,
005da33cf.jpg_4,
005dbf0e0.jpg_1,
005dbf0e0.jpg_2,
005dbf0e0.jpg_3,
005dbf0e0.jpg_4,
005f02e20.jpg_1,
005f02e20.jpg_2,
005f02e20.jpg_3,1244 104 1296 215
005f02e20.jpg_4,
005f19695.jpg_1,
005f19695.jpg_2,
005f19695.jpg_3,481 0 502 126 523 0 548 235 574 0 612 256 678 2 707 256 1131 0 1164 235 1273 0 1320 256
005f19695.jpg_4,
006a4402e.jpg_1,
006a4402e.jpg_2,
006a4402e.jpg_3,
006a4402e.jpg_4,
0074d81d0.jpg_1,
0074d81d0.jpg_2,
0074d81d0.jpg_3,
0074d81d0.jpg_4,
00762aa3b.jpg_1,
00762aa3b.jpg_2,
00762aa3b.jpg_3,
00762aa3b.jpg_4,
007f28bba.jpg_1,
007f28bba.jpg_2,
007f28bba.jpg_3,
007f28bba.jpg_4,
008479d08.jpg_1,
008479d08.jpg_2,
008479d08.jpg_3,
008479d08.jpg_4,
008621629.jpg_1,
008621629.jpg_2,
008621629.jpg_3,
008621629.jpg_4,841 180 1024 254 1152 134 1580 250
0088260da.jpg_1,
0088260da.jpg_2,
0088260da.jpg_3,101 0 140 256 414 0 1383 173 1351 28 1381 256 1399 50 1428 255
0088260da.jpg_4,
00894274f.jpg_1,
00894274f.jpg_2,
00894274f.jpg_3,
00894274f.jpg_4,
008b9acf5.jpg_1,
008b9acf5.jpg_2,
008b9acf5.jpg_3,
008b9acf5.jpg_4,
008d0f87b.jpg_1,
008d0f87b.jpg_2,
008d0f87b.jpg_3,282 49 306 253 558 0 587 115 1482 132 1515 256
008d0f87b.jpg_4,
008ef3d74.jpg_1,1391 182 1430 256
008ef3d74.jpg_2,1466 4 1499 162
008ef3d74.jpg_3,
008ef3d74.jpg_4,
0095cd374.jpg_1,
0095cd374.jpg_2,
0095cd374.jpg_3,41 1 112 221
0095cd374.jpg_4,
009b12ccc.jpg_1,
009b12ccc.jpg_2,
009b12ccc.jpg_3,
009b12ccc.jpg_4,
00ac8372f.jpg_1,397 106 415 188
00ac8372f.jpg_2,383 63 396 256 417 0 450 256
00ac8372f.jpg_3,
00ac8372f.jpg_4,
00af2671f.jpg_1,
00af2671f.jpg_2,
00af2671f.jpg_3,607 0 633 256 663 0 739 256 800 0 823 256 835 0 853 256 1100 0 1120 229
00af2671f.jpg_4,
00b989e78.jpg_1,
00b989e78.jpg_2,
00b989e78.jpg_3,
00b989e78.jpg_4,
00bc01bfe.jpg_1,831 193 843 225 880 193 890 237 1093 129 1116 216 1256 151 1282 195 1314 204 1335 256
00bc01bfe.jpg_2,
00bc01bfe.jpg_3,
00bc01bfe.jpg_4,
00bf8497a.jpg_1,
00bf8497a.jpg_2,
00bf8497a.jpg_3,795 23 850 104 864 32 906 83 1392 63 1474 93
00bf8497a.jpg_4,
00c24a74c.jpg_1,
00c24a74c.jpg_2,
00c24a74c.jpg_3,
00c24a74c.jpg_4,
00c6060db.jpg_1,
00c6060db.jpg_2,
00c6060db.jpg_3,
00c6060db.jpg_4,
00c88fed0.jpg_1,40 227 58 255
00c88fed0.jpg_2,52 114 70 256 61 1 83 184
00c88fed0.jpg_3,
00c88fed0.jpg_4,
00cdb56a0.jpg_1,
00cdb56a0.jpg_2,
00cdb56a0.jpg_3,1034 71 1072 135
00cdb56a0.jpg_4,
00d639396.jpg_1,
00d639396.jpg_2,
00d639396.jpg_3,895 0 1230 256
00d639396.jpg_4,
00d7ae946.jpg_1,
00d7ae946.jpg_2,
00d7ae946.jpg_3,
00d7ae946.jpg_4,
00dcb19f3.jpg_1,
00dcb19f3.jpg_2,
00dcb19f3.jpg_3,
00dcb19f3.jpg_4,
00ded7837.jpg_1,
00ded7837.jpg_2,
00ded7837.jpg_3,
00ded7837.jpg_4,
00e0398ad.jpg_1,
00e0398ad.jpg_2,
00e0398ad.jpg_3,31 0 127 256 446 0 561 256 1019 1 1233 256
00e0398ad.jpg_4,
00ec97699.jpg_1,
00ec97699.jpg_2,
00ec97699.jpg_3,1104 127 1222 231
00ec97699.jpg_4,
00f1665e6.jpg_1,
00f1665e6.jpg_2,
00f1665e6.jpg_3,933 69 953 159 984 0 1036 256 1055 0 1070 85 1154 111 1198 255
00f1665e6.jpg_4,
00f68d337.jpg_1,
00f68d337.jpg_2,
00f68d337.jpg_3,
00f68d337.jpg_4,
00f6e702c.jpg_1,
00f6e702c.jpg_2,
00f6e702c.jpg_3,1134 85 1166 251 1166 10 1184 29 1172 90 1184 137 1201 142 1224 215 1305 25 1329 61
00f6e702c.jpg_4,
00f95222c.jpg_1,
00f95222c.jpg_2,
00f95222c.jpg_3,
00f95222c.jpg_4,
00fe04c98.jpg_1,
00fe04c98.jpg_2,
00fe04c98.jpg_3,
00fe04c98.jpg_4,
00fe7f023.jpg_1,
00fe7f023.jpg_2,
00fe7f023.jpg_3,
00fe7f023.jpg_4,
0101e2cf0.jpg_1,
0101e2cf0.jpg_2,
0101e2cf0.jpg_3,
0101e2cf0.jpg_4,
01053d28f.jpg_1,168 54 196 82 197 26 226 122 230 103 255 149 241 40 263 76 261 206 290 248
01053d28f.jpg_2,
01053d28f.jpg_3,
01053d28f.jpg_4,
010db68d1.jpg_1,227 217 249 242 301 52 323 96 382 93 413 140 433 52 461 121
010db68d1.jpg_2,
010db68d1.jpg_3,
010db68d1.jpg_4,
012a4581b.jpg_1,
012a4581b.jpg_2,
012a4581b.jpg_3,
012a4581b.jpg_4,
012a9a4c7.jpg_1,690 76 731 126 703 0 741 43
012a9a4c7.jpg_2,
012a9a4c7.jpg_3,
012a9a4c7.jpg_4,
012d29df4.jpg_1,
012d29df4.jpg_2,
012d29df4.jpg_3,0 54 1420 249 93 65 394 117 445 29 503 73 579 32 630 106 774 81 774 82 775 32 839 81
012d29df4.jpg_4,
012f26693.jpg_1,
012f26693.jpg_2,
012f26693.jpg_3,17 3 48 91 177 0 225 120
012f26693.jpg_4,137 129 301 246
01338c0ea.jpg_1,
01338c0ea.jpg_2,
01338c0ea.jpg_3,281 140 307 233 298 0 327 117
01338c0ea.jpg_4,
0139dd004.jpg_1,
0139dd004.jpg_2,
0139dd004.jpg_3,542 7 588 53 909 103 945 149
0139dd004.jpg_4,
0141c9bf3.jpg_1,
0141c9bf3.jpg_2,
0141c9bf3.jpg_3,1164 91 1228 241 1307 136 1327 160
0141c9bf3.jpg_4,
014409fcc.jpg_1,
014409fcc.jpg_2,
014409fcc.jpg_3,
014409fcc.jpg_4,
0148e9891.jpg_1,
0148e9891.jpg_2,
0148e9891.jpg_3,923 0 943 256 986 23 1016 256
0148e9891.jpg_4,
014ebe543.jpg_1,
014ebe543.jpg_2,
014ebe543.jpg_3,10 74 68 132 140 71 239 153 676 152 752 221 1188 2 1209 43
014ebe543.jpg_4,
01540cab1.jpg_1,
01540cab1.jpg_2,
01540cab1.jpg_3,386 183 874 232
01540cab1.jpg_4,
015ed7fac.jpg_1,
015ed7fac.jpg_2,
015ed7fac.jpg_3,
